pitch_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_L,stand_R,p_throws_L,p_throws_R,inning_topbot_Bot,inning_topbot_Top,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_4th outfielder,of_fielding_alignment_Standard,of_fielding_alignment_Strategic,pitcher_545333,pitcher_571578,pitcher_572971,pitcher_596001,pitcher_605400
SI,1,2,0,0,0,0,8,55,4,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,1,0,0,0,0,8,55,3,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,0,0,0,0,0,8,55,2,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,0,0,0,0,0,8,55,1,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,0,0,0,0,0,8,54,1,1,2,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
SL,0,2,0,0,0,2,7,50,3,1,2,2,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SL,0,1,0,0,0,2,7,50,2,1,2,2,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
CU,0,0,0,0,0,2,7,50,1,1,2,2,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SL,2,2,0,0,0,1,7,49,5,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,1,2,0,0,0,1,7,49,4,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,1,1,0,0,0,1,7,49,3,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,1,0,0,0,1,7,49,2,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,0,0,1,7,49,1,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,2,0,0,0,0,7,48,4,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SL,0,2,0,0,0,0,7,48,3,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,1,0,0,0,0,7,48,2,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,0,0,0,0,0,7,48,1,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,1,0,0,0,0,7,47,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,0,0,0,0,0,7,47,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,0,1,2,6,43,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SL,2,2,0,1,0,2,6,42,6,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
SL,1,2,0,0,1,2,6,42,5,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SI,1,2,0,0,1,2,6,42,4,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
CH,1,1,0,0,1,2,6,42,3,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SI,1,0,0,0,1,2,6,42,2,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SI,0,0,0,0,1,2,6,42,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SL,1,2,0,0,1,1,6,41,4,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,1,1,0,0,1,1,6,41,3,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,1,0,0,1,1,6,41,2,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,0,1,1,6,41,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,3,2,0,0,0,1,6,40,7,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,3,2,0,0,0,1,6,40,6,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,3,1,0,0,0,1,6,40,5,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,2,1,0,0,0,1,6,40,4,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SL,1,1,0,0,0,1,6,40,3,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,1,0,0,0,0,1,6,40,2,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,0,0,1,6,40,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,0,0,0,0,0,6,39,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
SI,0,0,0,0,1,2,5,35,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
CU,0,1,0,0,0,2,5,34,2,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,0,0,2,5,34,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,1,0,0,0,1,5,33,2,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,0,0,0,0,1,5,33,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SL,2,2,0,0,0,0,5,32,5,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SL,1,2,0,0,0,0,5,32,4,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,1,0,0,0,0,5,32,3,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,1,0,0,0,0,0,5,32,2,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
CU,0,0,0,0,0,0,5,32,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,1,0,0,0,0,2,4,27,2,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FF,0,0,0,0,0,2,4,27,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FF,0,1,0,0,0,1,4,26,2,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
CU,0,0,0,0,0,1,4,26,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
CU,2,1,0,0,0,0,4,25,4,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,2,0,0,0,0,0,4,25,3,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,1,0,0,0,0,0,4,25,2,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,0,0,0,0,0,0,4,25,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
SI,1,2,0,0,0,2,3,19,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,1,0,0,0,2,3,19,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,0,1,0,0,0,2,3,19,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,0,0,0,0,2,3,19,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,1,1,0,0,0,1,3,18,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
CU,0,1,0,0,0,1,3,18,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,0,0,0,0,0,1,3,18,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
SI,0,0,0,0,0,0,3,17,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
CU,1,1,0,0,0,2,2,12,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,1,0,0,0,0,2,2,12,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,0,0,0,0,0,2,2,12,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,0,0,0,0,0,1,2,11,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SL,1,2,0,0,0,0,2,10,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
CU,0,2,0,0,0,0,2,10,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
CU,0,1,0,0,0,0,2,10,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
SI,0,0,0,0,0,0,2,10,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FF,0,0,1,1,0,2,1,5,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,3,2,1,0,1,1,1,4,7,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,3,2,1,0,1,1,1,4,6,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,3,1,1,0,1,1,1,4,5,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,2,1,1,0,1,1,1,4,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,1,1,1,0,1,1,1,4,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,1,1,0,1,1,1,4,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,0,1,0,1,1,1,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,3,2,1,0,0,1,1,3,7,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
SI,3,2,1,0,0,1,1,3,6,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
SL,2,2,1,0,0,1,1,3,5,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
CU,2,1,1,0,0,1,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
SL,1,1,1,0,0,1,1,3,3,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
CU,1,0,1,0,0,1,1,3,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
CU,0,0,1,0,0,1,1,3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SL,1,2,0,1,0,0,1,2,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,1,1,0,1,0,0,1,2,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,1,0,0,1,0,0,1,2,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
FT,1,0,0,0,1,1,6,52,2,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,1,1,6,52,1,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,3,2,0,0,0,1,6,51,6,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,2,2,0,0,0,1,6,51,5,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,1,2,0,0,0,1,6,51,4,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,1,0,0,0,1,6,51,3,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,1,0,0,0,1,6,51,2,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,0,1,6,51,1,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,0,0,6,50,1,2,2,2,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,3,2,0,1,1,2,6,49,7,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,3,2,0,1,1,2,6,49,6,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,2,2,0,1,1,2,6,49,5,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,2,0,1,1,2,6,49,4,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,2,0,1,1,2,6,49,3,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,1,0,1,1,2,6,49,2,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,0,0,1,1,2,6,49,1,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,3,0,0,0,1,2,6,48,4,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,2,0,0,0,1,2,6,48,3,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
CH,1,0,0,0,1,2,6,48,2,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,0,0,0,1,2,6,48,1,2,2,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,3,1,1,0,1,1,6,47,5,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,2,1,1,0,1,1,6,47,4,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,1,1,0,1,1,6,47,3,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FF,0,1,1,0,1,1,6,47,2,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,0,1,0,1,1,6,47,1,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,1,0,0,0,1,1,6,46,2,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
CH,0,0,0,0,1,1,6,46,1,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,2,0,0,0,1,6,45,4,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
FF,1,1,0,0,0,1,6,45,3,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
FF,1,0,0,0,0,1,6,45,2,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
SL,0,0,0,0,0,1,6,45,1,2,1,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,2,0,0,0,0,6,44,5,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,2,0,0,0,0,6,44,4,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,1,0,0,0,0,6,44,3,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,0,1,0,0,0,0,6,44,2,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
CH,0,0,0,0,0,0,6,44,1,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FC,0,1,0,1,1,2,5,43,2,2,1,2,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
FC,0,0,0,1,1,2,5,43,1,2,1,2,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
FT,3,2,0,0,1,2,5,42,6,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,2,2,0,0,1,2,5,42,5,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,2,1,0,0,1,2,5,42,4,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FC,1,1,0,0,1,2,5,42,3,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FC,0,1,0,0,1,2,5,42,2,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,1,2,5,42,1,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,3,2,0,0,1,1,5,41,6,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,2,2,0,0,1,1,5,41,5,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,1,2,0,0,1,1,5,41,4,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,0,2,0,0,1,1,5,41,3,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,1,0,0,1,1,5,41,2,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,1,1,5,41,1,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,2,0,0,0,1,5,40,7,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FC,1,2,0,0,0,1,5,40,6,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,1,2,0,0,0,1,5,40,5,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FC,1,2,0,0,0,1,5,40,4,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,2,0,0,0,1,5,40,3,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FC,0,1,0,0,0,1,5,40,2,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,0,1,5,40,1,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,2,1,0,0,0,0,5,39,4,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,1,0,0,0,0,5,39,3,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,1,0,0,0,0,0,5,39,2,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,0,0,0,0,0,0,5,39,1,2,1,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,0,2,0,0,0,2,5,38,3,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,1,0,0,0,2,5,38,2,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,0,0,0,0,2,5,38,1,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,2,2,0,0,0,1,5,37,5,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
FT,1,2,0,0,0,1,5,37,4,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
FF,1,1,0,0,0,1,5,37,3,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
SL,1,0,0,0,0,1,5,37,2,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
SL,0,0,0,0,0,1,5,37,1,2,1,1,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
SL,3,2,0,0,0,0,5,36,6,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,2,2,0,0,0,0,5,36,5,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FF,2,1,0,0,0,0,5,36,4,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,1,1,0,0,0,0,5,36,3,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,1,0,0,0,0,5,36,2,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,0,0,0,0,0,5,36,1,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,0,0,0,0,1,2,4,35,1,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FF,1,1,0,0,1,1,4,34,3,2,1,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FT,1,0,0,0,1,1,4,34,2,2,1,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
FT,0,0,0,0,1,1,4,34,1,2,1,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
FT,3,0,0,0,0,1,4,33,4,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,2,0,0,0,0,1,4,33,3,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,1,0,0,0,0,1,4,33,2,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,0,1,4,33,1,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,2,2,0,0,0,0,4,32,6,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FC,2,2,0,0,0,0,4,32,5,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
CH,1,2,0,0,0,0,4,32,4,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,1,0,0,0,0,4,32,3,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,1,0,0,0,0,4,32,2,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,0,0,4,32,1,2,1,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,2,1,0,1,2,4,31,5,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FF,0,2,1,0,1,2,4,31,4,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,2,1,0,1,2,4,31,3,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,1,1,0,1,2,4,31,2,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,0,1,0,1,2,4,31,1,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FF,0,0,0,0,1,2,4,30,1,2,1,1,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,3,2,0,1,0,2,4,29,7,2,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
SL,2,2,0,0,1,2,4,29,6,2,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
SL,1,2,0,0,1,2,4,29,5,2,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
FT,1,2,0,0,1,2,4,29,4,2,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
FT,1,1,0,0,1,2,4,29,3,2,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
SL,0,1,0,0,1,2,4,29,2,2,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
SL,0,0,0,0,1,2,4,29,1,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,2,0,0,1,1,4,28,5,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,1,2,0,0,1,1,4,28,4,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FF,1,1,0,0,1,1,4,28,3,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,1,0,0,0,1,1,4,28,2,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
CU,0,0,0,0,1,1,4,28,1,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,2,1,0,0,0,1,4,27,4,2,0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
FT,1,1,0,0,0,1,4,27,3,2,0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
FF,1,0,0,0,0,1,4,27,2,2,0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
SL,0,0,0,0,0,1,4,27,1,2,0,0,2,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
FT,3,2,0,0,0,0,4,26,6,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,2,2,0,0,0,0,4,26,5,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,1,2,0,0,0,0,4,26,4,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,2,0,0,0,0,4,26,3,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,1,0,0,0,0,4,26,2,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
SL,0,0,0,0,0,0,4,26,1,2,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
FT,1,1,0,0,0,2,3,25,3,2,0,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
FT,0,1,0,0,0,2,3,25,2,2,0,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,0,2,3,25,1,2,0,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
FT,2,2,0,0,0,1,3,24,5,2,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,2,0,0,0,1,3,24,4,2,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,1,0,0,0,1,3,24,3,2,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,1,0,0,0,0,1,3,24,2,2,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
FT,0,0,0,0,0,1,3,24,1,2,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
SL,2,2,0,0,0,0,3,23,5,2,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
