pitch_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_L,stand_R,p_throws_L,p_throws_R,inning_topbot_Bot,inning_topbot_Top,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_4th outfielder,of_fielding_alignment_Standard,of_fielding_alignment_Strategic
FC,0,0,0,0,0,1,3,21,1,2,0,0,2,0,1,0,1,0,1,0,1,0,0,1,0
CU,0,0,0,0,0,0,3,20,1,2,0,0,2,1,0,0,1,0,1,0,0,1,0,1,0
CU,0,0,0,0,1,2,2,19,1,2,0,2,0,1,0,0,1,1,0,1,0,0,0,1,0
SL,0,0,0,0,0,2,2,18,1,2,0,2,0,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,1,0,2,2,17,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,1,0,1,2,16,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
FF,0,0,0,0,0,1,2,15,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,2,14,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
SL,0,0,0,0,1,2,2,13,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
CU,0,0,0,0,0,2,2,12,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,0,0,1,2,11,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
SI,0,0,0,0,0,0,2,10,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
CH,0,0,0,0,1,2,1,9,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
FF,0,0,0,0,0,2,1,8,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
CH,0,0,0,0,0,1,1,7,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
FF,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
SL,0,0,0,1,1,2,1,5,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
SI,0,0,0,0,1,2,1,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,1,1,1,3,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
SL,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
SL,0,0,0,0,0,2,9,72,1,4,7,4,7,0,1,1,0,1,0,0,0,1,0,1,0
FT,0,0,0,0,0,1,9,71,1,4,7,4,7,0,1,1,0,1,0,0,0,1,0,1,0
SL,0,0,0,0,0,0,9,70,1,4,7,4,7,0,1,0,1,1,0,0,1,0,0,1,0
SI,0,0,1,1,1,0,9,69,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,1,1,0,9,68,1,0,7,0,7,0,1,0,1,1,0,1,0,0,0,1,0
SI,0,0,0,0,1,0,9,67,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
SI,0,0,0,0,0,0,9,66,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,0,2,9,65,1,0,7,7,0,0,1,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,0,0,1,9,64,1,0,7,7,0,1,0,0,1,0,1,0,1,0,0,0,1
FF,0,0,0,0,0,0,9,63,1,0,7,7,0,1,0,0,1,0,1,0,1,0,0,1,0
SI,0,0,0,0,0,2,8,62,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
SI,0,0,0,0,0,1,8,61,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
SI,0,0,0,0,0,0,8,60,1,0,7,0,7,1,0,0,1,1,0,1,0,0,0,1,0
FF,0,0,0,0,0,2,8,59,1,0,7,7,0,0,1,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,0,0,1,8,58,1,0,7,7,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,8,57,1,0,7,7,0,0,1,0,1,0,1,0,1,0,0,1,0
CU,0,0,0,0,0,2,7,56,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
CH,0,0,0,0,0,1,7,55,1,0,7,0,7,1,0,0,1,1,0,1,0,0,0,1,0
FT,0,0,0,0,0,0,7,54,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,2,7,53,1,0,7,7,0,0,1,1,0,0,1,0,1,0,0,1,0
CU,0,0,0,0,0,1,7,52,1,0,7,7,0,0,1,1,0,0,1,1,0,0,0,1,0
SL,0,0,0,0,0,0,7,51,1,0,7,7,0,1,0,1,0,0,1,0,1,0,0,0,1
CU,0,0,0,0,0,2,6,50,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,0,1
CU,0,0,0,0,0,1,6,49,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,0,0,0,6,48,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,1,0,1,2,6,47,1,0,7,7,0,0,1,1,0,0,1,1,0,0,0,1,0
CU,0,0,0,1,1,1,6,46,1,0,7,7,0,0,1,1,0,0,1,0,1,0,0,1,0
SL,0,0,0,1,0,1,6,45,1,0,7,7,0,1,0,1,0,0,1,1,0,0,0,0,1
FF,0,0,0,1,0,0,6,44,1,0,7,7,0,0,1,1,0,0,1,0,0,1,0,1,0
FF,0,0,0,0,0,0,6,43,1,0,7,7,0,0,1,1,0,0,1,1,0,0,0,1,0
FT,0,0,1,0,1,2,5,42,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,1,1,1,5,41,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
FT,0,0,0,1,1,0,5,40,1,0,7,0,7,1,0,0,1,1,0,1,0,0,0,1,0
FT,0,0,0,0,1,0,5,39,1,0,7,0,7,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,0,0,0,5,38,1,0,7,0,7,1,0,0,1,1,0,1,0,0,0,1,0
CU,0,0,0,1,0,2,5,37,1,0,6,6,0,0,1,1,0,0,1,0,1,0,0,1,0
FF,0,0,0,0,1,1,5,36,1,0,6,6,0,1,0,0,1,0,1,1,0,0,0,0,1
